USERNAME,ID,ROLE,PASSWORD,SUCURSAL
GABO007,100,Admin,GABOSERVICIOS@2024#,5
up,1,Seller,pass1234,1
gc,2,Seller,1234pass,1
loo,3,Seller,lool1234,1
meg,4,Seller,meg1234,1
now,5,Seller,now1234,1
zon,6,Seller,zon1234,1
coo,7,Seller,coo1234,1
vor,8,Seller,vor1234,1
flix,9,Seller,flix1234,1
mov,10,Seller,mov1234,1
vis,11,Seller,vis1234,1
king,12,Seller,king1234,2
gen,13,Seller,gen1234,2
par,14,Seller,par1234,2
mat,15,Seller,mat1234,2
mon,16,Seller,mon1234,2
big,17,Seller,big1234,3
cop,18,Seller,cop1234,3
